district_ID,district_name,Rice_production,maize_production,wheat_production,Bajra_production,Jowar_production,Ragi_production,cotton_production,sugarcane_production,cotton_production
101,Bagalkot,154,274297,39647,27887,68090,29,1973,7843052,1973
102,Bangalore Rural,553,33282,1,10,749,69255,6,5044,6
103,Bangalore Urban,1323,3740,3,8,501,16983,27,2565,27
104,Belgaum,135034,616404,63111,9920,171955,1292,167339,19062518,167339
105,Bellary,543194,555187,19,17749,62197,11825,119990,,119990
106,Bidar,444,3058,2764,312,24557,14,875,,875
107,Chamarajanagar,36949,100762,1,1026,8941,13933,8526,688375,8526
108,Chikkaballapur,27205,49971,4,191,20422,27205,231,11286,231
109,Chikkamagaluru,48816,60272,3,31,11856,32983,2775,34048,2775
110,Chitradurga,1558,224518,176,783,2950,21570,16556,1282,16556
111,Dakshina Kannada,27042,,3,4,4912,,,598,
112,Davanagere,412174,328067,216,276,28834,8675,5636,99769,5636
113,Dharwad,10118,115263,13872,55,24933,84,76592,550346,76592
114,Gadag,9327,78132,5635,1654,116436,42,110395,,110395
115,Gulbarga,9327,7180,9560,2961,5004,83,203077,1972152,203077
116,Hassan,110610,237735,9,87,35232,60588,54,300427,54
117,Haveri,54913,422872,202,5,,318,154751,500893,154751
118,Kodagu,53278,2,7030,,1493,75,,,
119,Kolar,6026,2887,,89,20688,43073,,4104,
120,Koppal,234693,103141,2943,45096,4468,83,12711,203319,12711
121,Mandya,219798,10885,1,12,12048,67639,8,3718282,8
122,Mysore,300673,84402,3,16,12048,70598,54633,861142,54633
123,Raichur,464001,33054,24,43351,177335,101,218909,47709,218909
124,Ramanagara,6908,8327,1,6,2336,84621,2,23769,2
125,Shimoga,245464,234634,,2,395,533,2930,95190,2930
126,Tumkur,19195,40108,,165,2579,144586,1817,52668,1817
127,Udupi,100117,6,1,,5,,,2052,
128,Uttara Kannada,112697,39876,,1,100,8,2388,467582,2388
129,Vijayapura,259,117384,24539,14576,97718,91,59160,2,59160
130,Yadgir,273785,337,367,10627,24850,12,256612,77890,256612
